City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Ballina,AU,-28.8667,153.5667,59.0,82,40,6.91,scattered clouds
211,Acapulco,MX,16.8634,-99.8901,82.4,65,20,3.44,few clouds
212,Port Hedland,AU,-20.3167,118.5667,73.4,68,3,5.75,clear sky
213,Teeli,RU,51.0333,90.2333,42.71,35,16,6.02,few clouds
214,Viedma,AR,-40.8135,-62.9967,72.66,67,99,16.31,overcast clouds
215,Narsaq,GL,60.9167,-46.05,30.2,31,36,5.75,scattered clouds
216,Itarema,BR,-2.9248,-39.9167,83.5,70,97,10.74,overcast clouds
217,Taltal,CL,-25.4,-70.4833,68.61,70,7,6.93,clear sky
218,Monticello,US,45.3055,-93.7941,59.0,41,1,14.03,clear sky
219,Garowe,SO,8.4054,48.4845,80.56,57,7,21.5,clear sky
220,Lazaro Cardenas,MX,17.9583,-102.2,81.59,45,0,7.43,clear sky
221,Chuy,UY,-33.6971,-53.4616,73.45,60,12,10.09,few clouds
222,Turukhansk,RU,65.8167,87.9833,15.35,82,100,15.41,overcast clouds
223,Ust-Kuyga,RU,70.0167,135.6,5.47,94,100,4.36,overcast clouds
224,Tocopilla,CL,-22.092,-70.1979,71.78,67,11,5.5,few clouds
225,Houma,US,29.5958,-90.7195,68.0,72,1,18.41,clear sky
226,Colares,PT,38.7992,-9.4469,68.0,56,0,9.22,clear sky
227,Mar Del Plata,AR,-38.0023,-57.5575,73.4,73,75,13.8,broken clouds
228,Mastic Beach,US,40.7668,-72.8521,57.99,38,20,4.61,few clouds
229,Karratha,AU,-20.7377,116.8463,80.67,57,0,5.12,clear sky
230,Jonkoping,SE,57.7814,14.1562,55.4,44,16,9.22,few clouds
231,Nelson Bay,AU,-32.7167,152.15,54.0,100,6,5.75,clear sky
232,Harper,LR,4.375,-7.7169,84.29,70,83,9.6,broken clouds
233,Haines Junction,CA,60.7522,-137.5108,30.2,69,100,2.3,overcast clouds
234,Bathsheba,BB,13.2167,-59.5167,86.0,54,40,24.16,scattered clouds
235,Leningradskiy,RU,69.3833,178.4167,15.39,82,6,8.57,clear sky
236,Cheyenne,US,41.14,-104.8203,48.99,39,1,26.46,clear sky
237,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,75,16.11,moderate rain
238,Bilma,NE,18.6853,12.9164,99.18,4,54,8.32,broken clouds
239,Yangjiang,CN,21.85,111.9667,71.55,83,100,9.31,overcast clouds
240,Cine,TR,37.6117,28.0614,68.0,60,75,5.75,broken clouds
241,Shimoda,JP,34.6667,138.95,48.99,69,0,1.99,clear sky
242,Boende,CD,-0.2167,20.8667,81.36,68,98,1.41,overcast clouds
243,Merauke,ID,-8.4667,140.3333,76.5,91,96,7.25,moderate rain
244,Cheremnoye,RU,53.1697,83.2133,46.4,61,75,17.9,light rain
245,Richards Bay,ZA,-28.783,32.0377,70.32,69,0,13.51,clear sky
246,The Valley,AI,18.217,-63.0578,86.0,70,40,14.97,scattered clouds
247,Berlevag,NO,70.8578,29.0864,39.2,70,20,12.66,few clouds
248,Cuamba,MZ,-14.8031,36.5372,63.55,86,73,4.81,broken clouds
249,Benalla,AU,-36.55,145.9833,43.0,93,79,2.98,broken clouds
250,Cocorit,MX,27.5833,-109.9667,71.6,40,1,6.91,clear sky
251,Noshiro,JP,40.2039,140.0242,45.97,92,100,24.45,moderate rain
252,Provideniya,RU,64.3833,-173.3,27.05,92,99,3.04,overcast clouds
253,Hofn,IS,64.2539,-15.2082,42.8,61,40,25.32,scattered clouds
254,Waitati,NZ,-45.75,170.5667,50.02,79,100,4.05,light rain
255,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,82,40,11.5,scattered clouds
256,Mukhen,RU,48.1,136.1,38.68,91,78,4.65,broken clouds
257,Sabang,ID,5.8933,95.3214,84.09,72,50,15.23,scattered clouds
258,Mahebourg,MU,-20.4081,57.7,77.0,94,75,16.11,moderate rain
259,Matongo,TZ,-2.3833,34.0833,66.56,80,81,4.74,broken clouds
260,Nabire,ID,-3.3667,135.4833,74.71,91,100,3.58,overcast clouds
261,Gueret,FR,46.1667,1.8667,57.0,41,0,8.05,clear sky
262,Zhezkazgan,KZ,47.8043,67.7144,56.73,58,92,4.23,overcast clouds
263,Puerto Princesa,PH,9.7392,118.7353,78.64,86,99,6.38,overcast clouds
264,Omsukchan,RU,62.5333,155.8,7.03,95,19,2.3,few clouds
265,Victoria,HK,22.2855,114.1577,73.0,79,100,5.01,overcast clouds
266,Xiangxiang,CN,27.7333,112.5333,54.79,95,100,1.45,light rain
267,Stabat,ID,3.761,98.4513,78.8,100,40,3.44,haze
268,Sattur,IN,9.3667,77.9333,82.4,74,40,3.44,scattered clouds
269,Turangi,NZ,-39.0,175.9333,50.0,99,22,2.93,few clouds
270,Nagaur,IN,27.2,73.7333,88.39,12,58,9.86,broken clouds
271,San Pedro,PH,14.35,121.0167,84.2,74,75,4.61,broken clouds
272,Carnarvon,AU,-24.8667,113.6333,76.01,69,0,18.07,clear sky
273,Anaco,VE,9.4389,-64.4728,93.31,27,100,12.77,overcast clouds
274,Dingle,PH,10.9995,122.6711,77.41,73,100,3.69,light rain
275,Gondanglegi,ID,-7.7479,112.0132,74.1,90,73,4.92,broken clouds
276,Waipawa,NZ,-41.4122,175.5153,60.8,63,3,16.11,clear sky
277,Chapais,CA,49.7834,-74.8492,48.2,57,75,4.61,broken clouds
278,Todos Santos,MX,23.45,-110.2167,82.0,42,40,1.99,scattered clouds
279,Marienburg,PL,54.0359,19.0266,55.0,100,96,3.87,overcast clouds
280,Mrakovo,RU,52.7161,56.6244,49.51,62,11,10.6,few clouds
281,Jutai,BR,-5.1833,-68.9,79.18,92,99,0.83,overcast clouds
282,Killybegs,IE,54.6333,-8.45,53.6,100,90,4.61,overcast clouds
283,Iqaluit,CA,63.7506,-68.5145,19.4,63,40,3.44,scattered clouds
284,Caibarien,CU,22.5206,-79.4669,89.6,48,40,10.36,scattered clouds
285,Portland,US,45.5234,-122.6762,66.0,37,29,1.01,scattered clouds
286,Toropets,RU,56.4978,31.6353,48.38,59,8,5.73,clear sky
287,Ribeira Grande,PT,38.5167,-28.7,66.2,82,20,12.66,few clouds
288,Indapur,IN,18.3,73.25,83.66,62,0,2.8,clear sky
289,Kanth,IN,29.0667,78.6333,81.45,21,15,6.96,few clouds
290,Awjilah,LY,29.1081,21.2869,95.83,9,100,9.71,overcast clouds
291,Ardahan,TR,41.1087,42.7022,46.45,83,100,5.03,overcast clouds
292,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,85.68,53,77,2.1,broken clouds
293,Amahai,ID,-3.3333,128.9167,81.0,93,99,0.87,overcast clouds
294,Alyangula,AU,-13.8483,136.4192,75.2,94,90,8.43,overcast clouds
295,San Policarpo,PH,12.1791,125.5072,76.69,91,100,29.68,heavy intensity rain
296,Yilan,TW,24.757,121.753,64.0,99,79,3.09,broken clouds
297,Tiksi,RU,71.6872,128.8694,6.69,88,100,12.75,overcast clouds
298,Borba,BR,-4.3878,-59.5939,84.02,72,85,2.98,overcast clouds
299,Teguldet,RU,57.3064,88.1667,32.43,94,100,9.19,overcast clouds
300,Perry,US,37.2506,-83.1999,59.0,38,40,8.05,scattered clouds
301,Ternate,ID,0.8,127.4,81.41,76,99,8.25,heavy intensity rain
302,Majene,ID,-3.5403,118.9707,77.04,86,100,3.31,overcast clouds
303,Changji,CN,44.0167,87.3167,60.8,36,0,4.47,clear sky
304,Caravelas,BR,-17.7125,-39.2481,83.48,60,47,9.89,scattered clouds
305,Codrington,AU,-38.2667,141.9667,51.57,94,61,8.5,broken clouds
306,Polewali,ID,-3.4324,119.3435,76.17,88,97,3.8,overcast clouds
