City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Plaridel,PH,84.2,broken clouds,14.8872,120.8572,St. Agatha Resort
476,Bosconia,CO,88.3,overcast clouds,9.9689,-73.8836,Hotel Jorlin
479,Sumenep,ID,78.04,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
481,Rawah,IQ,86.99,scattered clouds,34.4816,41.9093,
482,Lodja,CD,75.02,overcast clouds,-3.4833,23.4333,
484,Asgabat,TM,75.2,few clouds,37.95,58.3833,Oguzkent Hotel
485,Valvedditturai,LK,83.89,broken clouds,9.8167,80.1667,Kanahathy Vadali
486,Maragogi,BR,80.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
493,Mamu Kanjan,PK,79.25,clear sky,30.8333,72.8,Malik Habib & sons House
494,Ende,ID,77.18,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
500,Souillac,MU,77.0,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
502,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
504,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
505,Casa Nova,BR,89.6,scattered clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
509,Bambanglipuro,ID,75.99,scattered clouds,-7.95,110.2833,Puri Brata
510,Doha,QA,82.99,clear sky,25.2867,51.5333,Movenpick Hotel Doha
513,Soyo,AO,82.15,overcast clouds,-6.1349,12.3689,Hotel Mpampa
519,Pedernales,DO,88.25,scattered clouds,18.0384,-71.744,Hotel Costa Marina
524,Vaitape,PF,82.0,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
527,Vanimo,PG,75.87,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
531,Vao,NC,75.85,light rain,-22.6667,167.4833,Hotel Kou-Bugny
532,Abu Samrah,SY,80.82,broken clouds,35.3029,37.1841,
537,Puro,PH,76.82,moderate rain,12.4841,123.3827,
539,Fundao,BR,86.0,few clouds,-19.9341,-40.4047,City Hotel
541,Guarapari,BR,86.0,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
544,Tsogni,GA,80.01,overcast clouds,-2.7942,10.0988,
546,Ca Mau,VN,78.85,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
548,Bhairab Bazar,BD,82.4,haze,24.0667,90.9667,RJ Tower Hotel And Resort
559,Cotonou,BJ,75.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
560,Anajatuba,BR,84.74,broken clouds,-3.2644,-44.6197,Pousada Por do Sol
563,Florianopolis,BR,75.99,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
